similitud,pieza_1,no_parte_1,pieza_2,no_parte_2,razon_no_fusion
96.2,"COPLE ACERO AL CARBON DE 3""",COPLE -144,"COPLE ACERO AL CARBON DE 4""",COPLE -143,Medidas/modelos diferentes
96.2,"TUERCA NEGRA GRADO 5 DE 1""",TUERC-115,"TUERCA NEGRA GRADO 5 DE 1/2""",TUERC-110,Medidas/modelos diferentes
96.2,"CONEXION RAPIDA MACHO DE 2""",F-200,"CONEXION RAPIDA MACHO DE 3""",F-300,Medidas/modelos diferentes
96.2,"CONEXION RAPIDA MACHO DE 2""",F-200,"CONEXION RAPIDA MACHO DE 4""",F-400,Medidas/modelos diferentes
96.2,"CONEXION RAPIDA MACHO DE 3""",F-300,"CONEXION RAPIDA MACHO DE 4""",F-400,Medidas/modelos diferentes
96.1,"CODO 90° MACHO NPTx TUERCA HEMBRA GIRATORIA NPSM 1"" x 1""",AIRE-COD-149,"CODO 90° MACHO NPTx TUERCA HEMBRA GIRATORIA NPSM 1"" x 3/4",AIRE-COD-148,Medidas/modelos diferentes
96.1,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1 1/2""",CODO I-215,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1 1/2,CODO I-200,Medidas/modelos diferentes
96.0,LAMINA NEGRA RC C-10 4*10,LAM-014,LAMINA NEGRA RC C-12 4*10,LAM-023,Medidas/modelos diferentes
96.0,LAMINA NEGRA RC C-12 3 *10,LAM-022,LAMINA NEGRA RC C-12 4*10,LAM-023,Medidas/modelos diferentes
96.0,REDUCCION BUSHING 1/2 *1/4,AIRE-RED-076,REDUCCION BUSHING 1/2*1/8,AIRE-RED-075,Medidas/modelos diferentes
96.0,REDUCCION BUSHING 1/2*1/8,AIRE-RED-075,REDUCCION BUSHING 1/2 * 3/8,AIRE-RED-077,Medidas/modelos diferentes
96.0,REDUCCION BUSHING 1/2*1/8,AIRE-RED-075,REDUCCION BUSHING 1/4 * 1/8,AIRE-RED-073,Medidas/modelos diferentes
96.0,REDUCCION BUSHING 3/4*1/4,AIRE-RED-072,REDUCCION BUSHING 3/8 * 1/4,AIRE-RED-071,Medidas/modelos diferentes
96.0,REDUCCION BUSHING 3/8 * 1/4,AIRE-RED-071,REDUCCION BUSHING 3/8 * 1/8,AIRE-RED-074,Medidas/modelos diferentes
96.0,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2* 1 1/4,AIRE-RED-138,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 2 1/2 * 1 1/2,AIRE-RED-140,Medidas/modelos diferentes
96.0,TEE MACHO LATERAL 1/4 * 1/4,AIRE-TEE-013,TEE MACHO LATERAL 1/4 * 1/8,AIRE-TEE-010,Medidas/modelos diferentes
95.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1 1/2""",CODO I-215,Medidas/modelos diferentes
95.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1 1/2""",CODO I-215,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 2""",CODO I-214,Medidas/modelos diferentes
95.9,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3/4""",CODO I-217,Medidas/modelos diferentes
95.9,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1/2,CODO I-203,Medidas/modelos diferentes
95.9,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3/4""",CODO I-217,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3/4,CODO I-202,Medidas/modelos diferentes
95.9,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1,CODO I-201,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1 1/2,CODO I-200,Medidas/modelos diferentes
95.9,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1 1/2,CODO I-200,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 2""",CODO I-199,Medidas/modelos diferentes
95.9,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1/2,CODO I-203,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3/4,CODO I-202,Medidas/modelos diferentes
95.9,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2* 1 1/4,AIRE-RED-138,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*1/2,AIRE-RED-135,Medidas/modelos diferentes
95.9,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2* 1 1/4,AIRE-RED-138,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*3/4,AIRE-RED-136,Medidas/modelos diferentes
95.9,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*1/2,AIRE-RED-135,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 2 1/2 * 1 1/2,AIRE-RED-140,Medidas/modelos diferentes
95.8,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3/4""",CODO I-217,Medidas/modelos diferentes
95.8,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3,CODO I-213,Medidas/modelos diferentes
95.8,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1/2,CODO I-218,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 4,CODO I-212,Medidas/modelos diferentes
95.8,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 2""",CODO I-214,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3/4""",CODO I-217,Medidas/modelos diferentes
95.8,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1,CODO I-201,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3/4,CODO I-202,Medidas/modelos diferentes
95.8,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1/2,CODO I-203,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3""",CODO I-198,Medidas/modelos diferentes
95.8,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1/2,CODO I-203,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 4""",CODO I-197,Medidas/modelos diferentes
95.8,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 2""",CODO I-199,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3/4,CODO I-202,Medidas/modelos diferentes
95.8,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*1/2,AIRE-RED-135,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*3/4,AIRE-RED-136,Medidas/modelos diferentes
95.8,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/2*3/4,AIRE-RED-136,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4*3/8,AIRE-RED-132,Medidas/modelos diferentes
95.8,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4* 1/2,AIRE-RED-133,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4*3/4,AIRE-RED-134,Medidas/modelos diferentes
95.8,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4* 1/2,AIRE-RED-133,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4*3/8,AIRE-RED-132,Medidas/modelos diferentes
95.7,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 1""",CODO I-216,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 1,CODO I-201,Medidas/modelos diferentes
95.7,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 2""",CODO I-214,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 2""",CODO I-199,Medidas/modelos diferentes
95.7,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 3,CODO I-213,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 3""",CODO I-198,Medidas/modelos diferentes
95.7,CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 45° * 4,CODO I-212,"CODO INOXIDABLE ROSCADO HEMBRA TIPO 304 DE 90° * 4""",CODO I-197,Medidas/modelos diferentes
95.7,CONECTOR HEMBRA 1/4 * 1/4,AIRE-CON-091,CONECTOR HEMBRA 1/4 * 1/8,AIRE-CON-090,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4* 1/2,AIRE-RED-133,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4 * 1/2,AIRE-RED-130,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 1 1/4*3/8,AIRE-RED-132,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4*3/8,AIRE-RED-129,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4 * 1/2,AIRE-RED-130,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4*3/8,AIRE-RED-129,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4 * 1/2,AIRE-RED-130,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/8*1/4,AIRE-RED-125,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4 * 1/2,AIRE-RED-130,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/8*1/8,AIRE-RED-124,Medidas/modelos diferentes
95.7,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/4*3/8,AIRE-RED-129,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 3/8*1/8,AIRE-RED-124,Medidas/modelos diferentes
95.7,"TEE INOXIDABLE ROSCABLE HEMBRA TIPO 304 DE 1/2""",TEE IN-232,"TEE INOXIDABLE ROSCABLE HEMBRA TIPO 304 DE 3/4""",TEE IN-231,Medidas/modelos diferentes
95.7,TORNILLO 1/4* 1/2 GALVANIZADO GRADO 5,TORNI-009,"TORNILLO 1/4* 1""GALVANIZADO GRADO 5",TORNI-010,Medidas/modelos diferentes
95.7,TORNILLO 3/8 *1 GALVANIZADO GRADO 5,TORNI-018,TORNILLO 3/8*2 GRALVANIZADO GRADO 5,TORNI-020,Medidas/modelos diferentes
95.7,TORNILLO 3/8*2 GRALVANIZADO GRADO 5,TORNI-020,TORNILLO 3/8 *3 GALVANIZADO GRADO 5,TORNI-021,Medidas/modelos diferentes
95.6,REDUCCION BUSHING MACHO NPT * HEMBRA NPT 11/2 *1,AIRE-RED-137,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2 *1/4,AIRE-RED-126,Medidas/modelos diferentes
95.6,"REDUCCION BUSHING MACHO NPT * HEMBRA NPT 21/2 * 1""",AIRE-RED-139,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2 *1/4,AIRE-RED-126,Medidas/modelos diferentes
95.6,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2 *1/4,AIRE-RED-126,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2* 3/8,AIRE-RED-127,Medidas/modelos diferentes
95.6,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2 *1/4,AIRE-RED-126,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/4*1/8,AIRE-RED-123,Medidas/modelos diferentes
95.6,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/2* 3/8,AIRE-RED-127,REDUCCION BUSHING MACHO NPT * HEMBRA NPT1/4*1/8,AIRE-RED-123,Medidas/modelos diferentes
95.6,"TEE INOXIDABLE ROSCABLE HEMBRA TIPO 304 DE 1/2""",TEE IN-232,"TEE INOXIDABLE ROSCABLE HEMBRA TIPO 304 DE 3""",TEE IN-227,Medidas/modelos diferentes
95.5,CONECTOR MACHO 1/2 *1/2,AIRE-CON-009,CONECTOR MACHO 1/2 * 1/4,AIRE-CON-007,Medidas/modelos diferentes
95.5,CONECTOR MACHO 1/2 * 1/4,AIRE-CON-007,CONECTOR MACHO 1/4 * 1/4,,Medidas/modelos diferentes
95.5,CONECTOR MACHO 1/2 * 3/8,AIRE-CON-008,CONECTOR MACHO 1/4 * 3/8,AIRE-CON-003,Medidas/modelos diferentes
95.5,CONECTOR MACHO 1/4 * 1/4,,CONECTOR MACHO 1/4 * 1/8,,Medidas/modelos diferentes
95.5,CONECTOR MACHO 1/4 * 1/8,,CONECTOR MACHO 1/4 * 3/8,AIRE-CON-003,Medidas/modelos diferentes
95.5,CONECTOR MACHO 3/8 * 1/4,AIRE-CON-005,CONECTOR MACHO 3/8 * 1/8,AIRE-CON-004,Medidas/modelos diferentes
95.5,CONECTOR MACHO 3/8 * 1/8,AIRE-CON-004,CONECTOR MACHO 3/8*3/8,AIRE-CON-006,Medidas/modelos diferentes
95.5,"TAPON ALUMINIO DIXON 2""",DC-200,"TAPON ALUMINIO DIXON 3""",DC-300,Medidas/modelos diferentes
95.5,"TAPON ALUMINIO DIXON 2""",DC-200,"TAPON ALUMINIO DIXON 4""",DC-400,Medidas/modelos diferentes
95.5,"TAPON ALUMINIO DIXON 3""",DC-300,"TAPON ALUMINIO DIXON 4""",DC-400,Medidas/modelos diferentes
95.5,"TORNILLO 1/4* 1""GALVANIZADO GRADO 5",TORNI-010,TORNILLO 1/4* 2 GALVANIZADO GRADO 5,TORNI-012,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 1 1/2 * 10,NIPLE -119,NIPLE ACERO AL CARBON DE 1 1/2 * 4,NIPLE -123,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 1 1/2 * 10,NIPLE -119,NIPLE ACERO AL CARBON DE 1 1/2 * 5,NIPLE -122,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 1 1/2 * 10,NIPLE -119,NIPLE ACERO AL CARBON DE 1 1/2 * 6,NIPLE -121,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 1 1/2 * 10,NIPLE -119,NIPLE ACERO AL CARBON DE 1 1/2 * 8,NIPLE -120,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 2 1/2 * 10,NIPLE -098,NIPLE ACERO AL CARBON DE 2 1/2 * 4,NIPLE -109,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 2 1/2 * 10,NIPLE -098,NIPLE ACERO AL CARBON DE 2 1/2 * 5,NIPLE -108,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 2 1/2 * 10,NIPLE -098,NIPLE ACERO AL CARBON DE 2 1/2 * 6,NIPLE -100,Medidas/modelos diferentes
95.4,NIPLE ACERO AL CARBON DE 2 1/2 * 10,NIPLE -098,NIPLE ACERO AL CARBON DE 2 1/2 * 8,NIPLE -099,Medidas/modelos diferentes
95.4,TORNILLO 7/16*2 1/2 NEGRO GRADO 5,TORNI-042,TORNILLO 9/16*2 1/2NEGRO GRADO 5,TORNI-059,Medidas/modelos diferentes
95.4,TORNILLO 9/16*1 1/2 NEGRO GRADO 5,TORNI-057,TORNILLO 9/16*2 1/2NEGRO GRADO 5,TORNI-059,Medidas/modelos diferentes
95.4,TORNILLO 9/16*2 1/2NEGRO GRADO 5,TORNI-059,TORNILLO 9/16*3 1/2 NEGRO GRADO 5,TORNI-061,Medidas/modelos diferentes
95.4,TORNILLO DE 3/8*1 NEGRO GRADO 5,TORNI-030,TORNILLO DE 3/8*3 /12 NEGRO GRADO 5,TORNI-035,Medidas/modelos diferentes
95.4,TORNILLO DE 3/8*3 NEGRO GRADO 5,TORNI-034,TORNILLO DE 3/8*3 /12 NEGRO GRADO 5,TORNI-035,Medidas/modelos diferentes
95.3,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1""",CODO I-209,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1 1/2""",CODO I-208,Medidas/modelos diferentes
95.3,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1 1/2""",CODO I-208,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 2""",CODO I-207,Medidas/modelos diferentes
95.3,CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1/2,CODO I-211,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 3/4""",CODO I-210,Medidas/modelos diferentes
95.3,NIPLE ACERO AL CARBON DE 1 1/2 CUERDA CORRIDA,NIPLE -124,"NIPLE ACERO AL CARBON DE 2"" CUERDA CORRIDA",NIPLE -118,Medidas/modelos diferentes
95.3,NIPLE ACERO AL CARBON DE 1/2 CUERDA CORRIDA,NIPLE -142,NIPLE ACERO AL CARBON DE 3/4 CUERDA CORRIDA,NIPLE -136,Medidas/modelos diferentes
95.2,CODO MACHO 90° 1/2 * 1/2,AIRE-COD-025,CODO MACHO 90° 1/2* 1/4,AIRE-COD-024,Medidas/modelos diferentes
95.2,CODO MACHO 90° 1/2* 1/4,AIRE-COD-024,CODO MACHO 90° 1/4 * 1/4,AIRE-COD-019,Medidas/modelos diferentes
95.2,CODO MACHO 90° 1/4 * 1/4,AIRE-COD-019,CODO MACHO 90 ° 1/4 *1/8,AIRE-COD-018,Medidas/modelos diferentes
95.2,CODO MACHO 90° 3/8*1/4,AIRE-COD-022,CODO MACHO 90° 3/8* 1/8,AIRE-COD-021,Medidas/modelos diferentes
95.2,CODO MACHO 90° 3/8* 1/8,AIRE-COD-021,CODO MACHO 90° 3/8 * 3/8,AIRE-COD-023,Medidas/modelos diferentes
95.2,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1""",CODO I-209,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 3/4""",CODO I-210,Medidas/modelos diferentes
95.2,CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1/2,CODO I-211,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 3""",CODO I-205,Medidas/modelos diferentes
95.2,CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 1/2,CODO I-211,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 4""",CODO I-204,Medidas/modelos diferentes
95.2,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 2""",CODO I-207,"CODO INOXIDABLE SOLDABLE TIPO 304 DE 45° * 3/4""",CODO I-210,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1 1/2 * 4,NIPLE -123,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1 1/2 * 5,NIPLE -122,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1 1/2 * 6,NIPLE -121,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1 1/2 * 8,NIPLE -120,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1/2 CUERDA CORRIDA,NIPLE -142,"NIPLE ACERO AL CARBON DE 3"" CUERDA CORRIDA",NIPLE -097,Medidas/modelos diferentes
95.2,NIPLE ACERO AL CARBON DE 1/2 CUERDA CORRIDA,NIPLE -142,"NIPLE ACERO AL CARBON DE 4"" CUERDA CORRIDA",NIPLE -091,Medidas/modelos diferentes
95.2,"NIPLE ACERO AL CARBON DE 2"" CUERDA CORRIDA",NIPLE -118,NIPLE ACERO AL CARBON DE 3/4 CUERDA CORRIDA,NIPLE -136,Medidas/modelos diferentes
95.2,TORNILLO 1/2*1 1/2 NEGRO GRADO 5,TORNI-047,TORNILLO 1/2*2 1/2NEGRO GRADO 5,TORNI-049,Medidas/modelos diferentes
95.2,TORNILLO 1/2*1 1/2 NEGRO GRADO 5,TORNI-047,TORNILLO 1/2*3 1/2NEGRO GRADO 5,TORNI-051,Medidas/modelos diferentes
95.2,TORNILLO 1/2*2 1/2NEGRO GRADO 5,TORNI-049,TORNILLO 1/2*4 1/2 NEGRO GRADO 5,TORNI-053,Medidas/modelos diferentes
95.2,TORNILLO 1/2*3 1/2NEGRO GRADO 5,TORNI-051,TORNILLO 1/2*4 1/2 NEGRO GRADO 5,TORNI-053,Medidas/modelos diferentes
95.2,LIJA ORBITAL GRANO 40,LIJA O-526,LIJA ORBITAL GRANO 80,LIJA O-525,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 *10,NIPLE -137,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 * 4,NIPLE -141,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 * 5,NIPLE -140,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 * 6,NIPLE -139,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 1/2 * 8,NIPLE -138,NIPLE ACERO AL CARBON DE 2 1/2 *,NIPLE -101,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,NIPLE ACERO AL CARBON DE 3/4 * 4,NIPLE -135,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,NIPLE ACERO AL CARBON DE 3/4 * 5,NIPLE -134,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,NIPLE ACERO AL CARBON DE 3/4 * 6,NIPLE -133,Medidas/modelos diferentes
95.1,NIPLE ACERO AL CARBON DE 3/4 * 10,NIPLE -131,NIPLE ACERO AL CARBON DE 3/4 *8,NIPLE -132,Medidas/modelos diferentes
95.1,TORNILLO 9/16*2 1/2NEGRO GRADO 5,TORNI-059,TORNILLO 9/16*2 NEGRO GRADO 5,TORNI-058,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*1 NEGRO GRADO 5,TORNI-030,TORNILLO DE 3/8*2NEGRO GRADO 5,TORNI-032,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*1 NEGRO GRADO 5,TORNI-030,TORNILLO DE 3/8*5NEGRO GRADO 5,TORNI-038,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*2NEGRO GRADO 5,TORNI-032,TORNILLO DE 3/8*3 NEGRO GRADO 5,TORNI-034,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*2NEGRO GRADO 5,TORNI-032,TORNILLO DE 3/8*4 NEGRO GRADO 5,TORNI-036,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*3 NEGRO GRADO 5,TORNI-034,TORNILLO DE 3/8*5NEGRO GRADO 5,TORNI-038,Medidas/modelos diferentes
95.1,TORNILLO DE 3/8*4 NEGRO GRADO 5,TORNI-036,TORNILLO DE 3/8*5NEGRO GRADO 5,TORNI-038,Medidas/modelos diferentes
95.0,CODO INOXIDABLE SOLDABLE TIPO 304 90° * 1/2,CODO I-196,CODO INOXIDABLE SOLDABLE TIPO 304 90° * 3/4,CODO I-195,Medidas/modelos diferentes
95.0,"CODO INOXIDABLE TIPO 304 SOLDABLE 90° * 1""",CODO I-194,"CODO INOXIDABLE TIPO 304 SOLDABLE 90° * 1 1/2""",CODO I-193,Medidas/modelos diferentes
95.0,"CODO INOXIDABLE TIPO 304 SOLDABLE 90° * 1 1/2""",CODO I-193,"CODO INOXIDABLE TIPO 304 SOLDABLE 90° * 2""",CODO I-192,Medidas/modelos diferentes
95.0,TEE HEMBRA UNION 1/2,AIRE-TEE-059,TEE HEMBRA UNION 1/4,AIRE-TEE-057,Medidas/modelos diferentes
95.0,TEE HEMBRA UNION 1/2,AIRE-TEE-059,TEE HEMBRA UNION 1/8,AIRE-TEE-056,Medidas/modelos diferentes
95.0,TEE HEMBRA UNION 1/4,AIRE-TEE-057,TEE HEMBRA UNION 1/8,AIRE-TEE-056,Medidas/modelos diferentes
95.0,TEE HEMBRA UNION 1/8,AIRE-TEE-056,TEE HEMBRA UNION 3/8,AIRE-TEE-058,Medidas/modelos diferentes
94.9,LAMINA INOXIDABLE T-304 A-2B LAS-F 4*8,LAM-028,LAMINA INOXIDABLE T-304 A-2B LAS-F O4*10,LAM-027,Medidas/modelos diferentes
94.9,REDUCCION CAMPANA SOLDABLE NEGRA DE 2 * 1,REDUCC-177,REDUCCION CAMPANA SOLDABLE NEGRA DE 3 * 2,REDUCC-176,Medidas/modelos diferentes
94.9,REDUCCION CAMPANA SOLDABLE NEGRA DE 2 * 1,REDUCC-177,REDUCCION CAMPANA SOLDABLE NEGRA DE 4 *3,REDUCC-175,Medidas/modelos diferentes
94.9,REDUCCION CAMPANA SOLDABLE NEGRA DE 3 * 2,REDUCC-176,REDUCCION CAMPANA SOLDABLE NEGRA DE 4 *3,REDUCC-175,Medidas/modelos diferentes
94.9,"TEE INOXIDABLE SOLDABLE TIPO 304 DE 1""",TEE IN-223,"TEE INOXIDABLE SOLDABLE TIPO 304 DE 1 1/2""",TEE IN-222,Medidas/modelos diferentes
94.9,"TEE INOXIDABLE SOLDABLE TIPO 304 DE 1 1/2""",TEE IN-222,"TEE INOXIDABLE SOLDABLE TIPO 304 DE 2""",TEE IN-221,Medidas/modelos diferentes
94.9,TEE INOXIDABLE SOLDABLE TIPO 304 DE 1/2,TEE IN-225,"TEE INOXIDABLE SOLDABLE TIPO 304 DE 3/4""",TEE IN-224,Medidas/modelos diferentes
94.9,TORNILLO 1/2*2 1/2NEGRO GRADO 5,TORNI-049,TORNILLO 1/2*2 NEGRO GRADO 5,TORNI-048,Medidas/modelos diferentes
94.7,"CODO 45° MACHO JIC x MACHO NPTF 1 5/16 * 1""",AIRE-COD-180,CODO 45° MACHO JIC x MACHO NPTF 1 5/16 * 3/4,AIRE-COD-179,Medidas/modelos diferentes
94.7,"NIPLE ACERO AL CARBON DE 1"" * 10",NIPLE -125,"NIPLE ACERO AL CARBON DE 1"" * 4",NIPLE -129,Medidas/modelos diferentes
94.7,"NIPLE ACERO AL CARBON DE 1"" * 10",NIPLE -125,"NIPLE ACERO AL CARBON DE 1"" * 5",NIPLE -128,Medidas/modelos diferentes
94.7,"NIPLE ACERO AL CARBON DE 1"" * 10",NIPLE -125,"NIPLE ACERO AL CARBON DE 1"" * 6",NIPLE -127,Medidas/modelos diferentes
